icao_operator,observed_flights,airline_name,passenger_airline
DLH,127850,,
EWG,20629,,
DLA,12704,,
AUA,8596,,
GWI,7968,,
BAW,5844,,
SWR,4833,,
BEL,4817,,
THY,4242,,
EZY,3740,,
CFG,3676,,
FIN,3667,,
KLC,3466,,
RYR,3265,,
KLM,3092,,
AEE,2917,,
AFR,2654,,
VLG,2637,,
BTI,2434,,
SXS,2409,,
LOT,2408,,
EIN,2353,,
TAP,2117,,
PGT,1933,,
HOP,1748,,
SAS,1647,,
ANE,1598,,
BCY,1541,,
OAW,1503,,
IBE,1494,,
BER,1257,,
CLH,1157,,
CFE,929,,
AZA,852,,
EJU,816,,
ELY,812,,
NAX,593,,
GER,501,,
IBS,473,,
DTR,472,,
VIV,458,,
ITY,454,,
BCS,451,,
GAF,432,,
TUI,427,,
WDL,388,,
LGL,359,,
NJE,338,,
LZB,335,,
AEA,331,,
NOZ,313,,
FDX,292,,
GJT,272,,
ROT,267,,
ASL,252,,
CTN,247,,
NVD,247,,
WZZ,227,,
KMM,211,,
AMC,189,,
BBT,182,,
BOX,167,,
MAY,150,,
AHO,135,,
TVS,122,,
KAL,119,,
IBB,119,,
CPA,118,,
SZS,112,,
CAI,112,,
AAF,109,,
MGH,109,,
TRA,107,,
TKJ,105,,
SHT,105,,
EDW,104,,
CGF,101,,
SXR,100,,
MBU,100,,
SEH,99,,
TVF,98,,
JTG,91,,
GEC,81,,
ABR,81,,
ISR,78,,
RYS,71,,
LDA,67,,
NPT,63,,
DHK,60,,
NSW,60,,
VJT,54,,
EZS,54,,
BRX,52,,
PAV,48,,
ECA,47,,
UTN,44,,
SRR,42,,
JTD,41,,
JFA,40,,
GAC,39,,
MMO,39,,
CXI,38,,
EFD,37,,
CIB,36,,
KKK,34,,
NSZ,34,,
TWI,34,,
ADN,33,,
PTN,32,,
PWF,31,,
DCL,30,,
NRW,29,,
BRA,28,,
EAF,28,,
EEU,27,,
FHY,27,,
AUI,26,,
CAZ,25,,
BMW,24,,
COO,24,,
NOS,24,,
AWH,22,,
DHA,21,,
KRP,21,,
WGT,20,,
LXG,20,,
LAV,19,,
bfx,18,,
TSC,18,,
HST,18,,
QTR,18,,
BVR,18,,
IFA,17,,
SEJ,16,,
FAD,16,,
CCM,15,,
AAO,15,,
JSY,15,,
SCR,15,,
KZU,15,,
SDR,15,,
TCX,14,,
LXJ,14,,
GLJ,13,,
JAF,12,,
FRO,12,,
MAR,12,,
IJM,12,,
HRN,12,,
MMD,12,,
SWG,11,,
AWC,11,,
TIE,11,,
LWG,11,,
GES,11,,
AMB,11,,
HYS,11,,
LNX,10,,
ITE,10,,
EJA,10,,
PCH,10,,
WNA,9,,
RWL,9,,
QAJ,9,,
FPO,9,,
PLF,9,,
ADZ,9,,
TAY,8,,
BUC,8,,
BBB,8,,
TDR,8,,
ACA,8,,
JAR,8,,
BUZ,7,,
SSZ,7,,
SQP,7,,
AXY,7,,
EXS,7,,
QAC,7,,
MHV,7,,
MCK,7,,
JEF,7,,
LIL,7,,
UNI,7,,
UAG,7,,
AEH,6,,
ALE,6,,
HYM,6,,
ISS,6,,
KAC,6,,
VCJ,6,,
AZE,6,,
NLY,6,,
ABP,6,,
QGA,6,,
FYL,6,,
AAN,5,,
BAF,5,,
TEU,5,,
RJB,5,,
ENT,5,,
SUA,5,,
DAL,5,,
PVD,5,,
PVG,5,,
JME,5,,
UPS,5,,
SAZ,4,,
JEI,4,,
MYJ,4,,
HYP,4,,
AAB,4,,
RAM,4,,
RUK,4,,
DFC,4,,
JNL,4,,
UAL,4,,
ATV,4,,
AOJ,4,,
PEA,3,,
NTF,3,,
FCA,3,,
AOV,3,,
BZF,3,,
TCR,3,,
BPA,3,,
FSF,3,,
BYD,3,,
DCV,3,,
KZR,3,,
RHH,3,,
TOM,2,,
ABF,2,,
AHY,2,,
AJO,2,,
DAB,2,,
SIO,2,,
SMW,2,,
CCA,2,,
EXU,2,,
QAF,2,,
ELJ,2,,
NAF,2,,
ETD,2,,
OAN,2,,
Heli-Line Hubschraubertransporte,2,,
FLJ,2,,
PUE,2,,
IXR,2,,
LUV,2,,
MEA,2,,
LTC,2,,
KNE,2,,
JVW,2,,
LDM,2,,
ROJ,2,,
SVW,2,,
DER,2,,
ECC,2,,
BOE,2,,
ANA,2,,
BIB,2,,
AFQ,1,,
AIO,1,,
HUF,1,,
HDL,1,,
HRT,1,,
FNF,1,,
FMY,1,,
GCK,1,,
NCR,1,,
LBT,1,,
KLJ,1,,
JUP,1,,
TWY,1,,
UAE,1,,
TYW,1,,
VLJ,1,,
VMP,1,,
ITN,1,,
LXA,1,,
LRQ,1,,
LMJ,1,,
JET,1,,
JDI,1,,
JNJ,1,,
MNB,1,,
PLM,1,,
EWE,1,,
ETH,1,,
ERJ,1,,
PGC,1,,
GLF,1,,
FXT,1,,
MSR,1,,
DMS,1,,
RFR,1,,
SHF,1,,
DCS,1,,
CYZ,1,,
CRV,1,,
EDC,1,,
DNU,1,,
SRN,1,,
CAL,1,,
BSM,1,,
STW,1,,
SWU,1,,
SWY,1,,
SYB,1,,
BID,1,,
APX,1,,
AMQ,1,,
TOY,1,,
TJT,1,,
VOE,1,,
WBA,1,,
AAL,1,,
XGO,1,,
