airport_icao,airport_iata,airport_name,airport_city,country_code,match_status
BG-JAM,JAM,Bezmer Air Base,Bezmer,BG,Matched
BIHN,HFN,Hornafjörður Airport,Höfn,IS,Matched
BIKF,KEF,Keflavik International Airport,Reykjavík,IS,Matched
BIRK,RKV,Reykjavík Domestic Airport,Reykjavík,IS,Matched
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Matched
BKPR,PRN,Priština Adem Jashari International Airport,Prishtina,XK,Matched
BY-0001,TXC,Orsha Airport - Balbasovo Air Base,Orsha,BY,Matched
BY-0003,,Bobrovichi Air Base,Kalinovichi,BY,Matched
BY-0006,,Osovtsy Air Base,Byaroza,BY,Matched
CY-0002,,,,,Unmatched
DAAB,,Blida Airport,Blida,DZ,Matched
DAAE,BJA,Soummam–Abane Ramdane Airport,Béjaïa,DZ,Matched
DAAG,ALG,Houari Boumediene Airport,Algiers,DZ,Matched
DAAK,,Boufarik Air Base,Boufarik,DZ,Matched
DAAV,GJL,Jijel Ferhat Abbas Airport,Tahir,DZ,Matched
DAAZ,,Relizane Airport,Relizane,DZ,Matched
DABB,AAE,Annaba Rabah Bitat Airport,Annaba,DZ,Matched
DABC,CZL,Mohamed Boudiaf International Airport,Constantine,DZ,Matched
DAOI,CFK,Chlef Aboubakr Belkaid International Airport,Chlef,DZ,Matched
DAOL,TAF,Oran Tafraoui Airport,Tafraoui,DZ,Matched
DAON,TLM,Zenata – Messali El Hadj Airport,Zenata,DZ,Matched
DAOO,ORN,Oran Es-Sénia (Ahmed Ben Bella) International Airport,Es-Sénia,DZ,Matched
DAOV,MUW,Ghriss Airport,Ghriss,DZ,Matched
DTKA,TBJ,Tabarka-Aïn Draham International Airport,Tabarka,TN,Matched
DTMB,MIR,Monastir Habib Bourguiba International Airport,Monastir,TN,Matched
DTNH,NBE,Enfidha - Hammamet International Airport,Enfidha,TN,Matched
DTTA,TUN,Tunis Carthage International Airport,Tunis,TN,Matched
DTTB,,Bizerte Sidi Ahmed Air Base,Borj Challouf,TN,Matched
DTTD,,Remada Air Base,Remada,TN,Matched
DTTG,GAE,Gabès Matmata International Airport,Gabès,TN,Matched
DTTJ,DJE,Djerba Zarzis International Airport,Mellita,TN,Matched
DTTX,SFA,Sfax Thyna International Airport,Sfax,TN,Matched
EBAW,ANR,Antwerp International Airport (Deurne),Antwerp,BE,Matched
EBBE,,Beauvechain Air Base,Beauvechain,BE,Matched
EBBL,,Kleine Brogel Air Base,Kleine Brogel,BE,Matched
EBBR,BRU,Brussels Airport,Zaventem,BE,Matched
EBCI,CRL,Brussels South Charleroi Airport,Charleroi,BE,Matched
EBCV,,Chièvres Air Base,Chièvres,BE,Matched
EBFN,,Koksijde Air Base,Koksijde,BE,Matched
EBFS,,Florennes Air Base,Florennes,BE,Matched
EBKT,KJK,Kortrijk-Wevelgem International Airport,Wevelgem,BE,Matched
EBLG,LGG,Liège Airport,Grâce-Hollogne,BE,Matched
EBOS,OST,Ostend-Bruges International Airport,Oostende,BE,Matched
EDAC,AOC,Leipzig–Altenburg Airport,Nobitz,DE,Matched
EDAH,HDF,Heringsdorf Airport,Zirchow,DE,Matched
EDBN,FNB,Neubrandenburg Trollenhagen Airport,Trollenhagen,DE,Matched
EDBR,,Rothenburg/Görlitz Airfield,Rothenburg/Oberlausitz,DE,Matched
EDDB,BER,Berlin Brandenburg Airport,Berlin,DE,Matched
EDDC,DRS,Dresden Airport,Dresden,DE,Matched
EDDE,ERF,Erfurt-Weimar Airport,Erfurt,DE,Matched
EDDF,FRA,Frankfurt Main Airport,Frankfurt am Main,DE,Matched
EDDG,FMO,Münster Osnabrück Airport,Greven,DE,Matched
EDDH,HAM,Hamburg Helmut Schmidt Airport,Hamburg,DE,Matched
EDDK,CGN,Cologne Bonn Airport,Köln (Cologne),DE,Matched
EDDL,DUS,Düsseldorf Airport,Düsseldorf,DE,Matched
EDDM,MUC,Munich Airport,Munich,DE,Matched
EDDN,NUE,Nuremberg Airport,Nuremberg,DE,Matched
EDDP,LEJ,Leipzig/Halle Airport,Schkeuditz,DE,Matched
EDDR,SCN,Saarbrücken Airport,Saarbrücken,DE,Matched
EDDS,STR,Stuttgart Airport,Stuttgart,DE,Matched
EDDV,HAJ,Hannover Airport,Hannover,DE,Matched
EDDW,BRE,Bremen Airport,Bremen,DE,Matched
EDFE,,Frankfurt-Egelsbach Airport,Egelsbach,DE,Matched
EDFH,HHN,Frankfurt-Hahn Airport,Frankfurt am Main (Lautzenhausen),DE,Matched
EDFM,MHG,Mannheim-City Airport,Mannheim,DE,Matched
EDFZ,,Mainz-Finthen Airfield,Mainz,DE,Matched
EDGE,EIB,Eisenach-Kindel Airport,Hörselberg-Hainich,DE,Matched
EDGS,SGE,Siegerland Airport,Burbach,DE,Matched
EDHI,XFW,Hamburg-Finkenwerder Airport,Hamburg,DE,Matched
EDHK,KEL,Kiel-Holtenau Airport,Kiel,DE,Matched
EDHL,LBC,Lübeck Blankensee Airport,Lübeck,DE,Matched
EDJA,FMM,Memmingen Allgau Airport,Memmingen,DE,Matched
EDLN,MGL,Mönchengladbach Airport,Mönchengladbach,DE,Matched
EDLP,PAD,Paderborn Lippstadt Airport,Büren,DE,Matched
EDLV,NRN,Weeze (Niederrhein) Airport,Weeze,DE,Matched
EDLW,DTM,Dortmund Airport,Dortmund,DE,Matched
EDMA,AGB,Augsburg Airport,Augsburg,DE,Matched
EDMO,OBF,Oberpfaffenhofen Airport,Weßling,DE,Matched
EDNY,FDH,Bodensee Airport Friedrichshafen,Friedrichshafen,DE,Matched
EDQA,,Bamberg-Breitenau Airfield,Bamberg,DE,Matched
EDQD,BYU,Bayreuth Airport,Bindlach,DE,Matched
EDQM,HOQ,Hof-Plauen Airport,Hof,DE,Matched
EDSB,FKB,Karlsruhe Baden-Baden Airport,Rheinmünster,DE,Matched
EDTD,,Donaueschingen-Villingen Airfield,Donaueschingen,DE,Matched
