airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
BG-JAM,JAM,Bezmer Air Base,Bezmer,BG,Matched,Bulgaria
BIHN,HFN,Hornafjörður Airport,Höfn,IS,Matched,Iceland
BIKF,KEF,Keflavik International Airport,Reykjavík,IS,Matched,Iceland
BIRK,RKV,Reykjavík Domestic Airport,Reykjavík,IS,Matched,Iceland
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,IS,Matched,Iceland
BKPR,PRN,Priština Adem Jashari International Airport,Prishtina,XK,Matched,Kosovo
BY-0001,TXC,Orsha Airport - Balbasovo Air Base,Orsha,BY,Matched,Belarus
BY-0003,,Bobrovichi Air Base,Kalinovichi,BY,Matched,Belarus
BY-0006,,Osovtsy Air Base,Byaroza,BY,Matched,Belarus
CY-0002,,,,,Unmatched,Unknown
DAAB,,Blida Airport,Blida,DZ,Matched,Algeria
DAAE,BJA,Soummam–Abane Ramdane Airport,Béjaïa,DZ,Matched,Algeria
DAAG,ALG,Houari Boumediene Airport,Algiers,DZ,Matched,Algeria
DAAK,,Boufarik Air Base,Boufarik,DZ,Matched,Algeria
DAAV,GJL,Jijel Ferhat Abbas Airport,Tahir,DZ,Matched,Algeria
DAAZ,,Relizane Airport,Relizane,DZ,Matched,Algeria
DABB,AAE,Annaba Rabah Bitat Airport,Annaba,DZ,Matched,Algeria
DABC,CZL,Mohamed Boudiaf International Airport,Constantine,DZ,Matched,Algeria
DAOI,CFK,Chlef Aboubakr Belkaid International Airport,Chlef,DZ,Matched,Algeria
DAOL,TAF,Oran Tafraoui Airport,Tafraoui,DZ,Matched,Algeria
DAON,TLM,Zenata – Messali El Hadj Airport,Zenata,DZ,Matched,Algeria
DAOO,ORN,Oran Es-Sénia (Ahmed Ben Bella) International Airport,Es-Sénia,DZ,Matched,Algeria
DAOV,MUW,Ghriss Airport,Ghriss,DZ,Matched,Algeria
DTKA,TBJ,Tabarka-Aïn Draham International Airport,Tabarka,TN,Matched,Tunisia
DTMB,MIR,Monastir Habib Bourguiba International Airport,Monastir,TN,Matched,Tunisia
DTNH,NBE,Enfidha - Hammamet International Airport,Enfidha,TN,Matched,Tunisia
DTTA,TUN,Tunis Carthage International Airport,Tunis,TN,Matched,Tunisia
DTTB,,Bizerte Sidi Ahmed Air Base,Borj Challouf,TN,Matched,Tunisia
DTTD,,Remada Air Base,Remada,TN,Matched,Tunisia
DTTG,GAE,Gabès Matmata International Airport,Gabès,TN,Matched,Tunisia
DTTJ,DJE,Djerba Zarzis International Airport,Mellita,TN,Matched,Tunisia
DTTX,SFA,Sfax Thyna International Airport,Sfax,TN,Matched,Tunisia
EBAW,ANR,Antwerp International Airport (Deurne),Antwerp,BE,Matched,Belgium
EBBE,,Beauvechain Air Base,Beauvechain,BE,Matched,Belgium
EBBL,,Kleine Brogel Air Base,Kleine Brogel,BE,Matched,Belgium
EBBR,BRU,Brussels Airport,Zaventem,BE,Matched,Belgium
EBCI,CRL,Brussels South Charleroi Airport,Charleroi,BE,Matched,Belgium
EBCV,,Chièvres Air Base,Chièvres,BE,Matched,Belgium
EBFN,,Koksijde Air Base,Koksijde,BE,Matched,Belgium
EBFS,,Florennes Air Base,Florennes,BE,Matched,Belgium
EBKT,KJK,Kortrijk-Wevelgem International Airport,Wevelgem,BE,Matched,Belgium
EBLG,LGG,Liège Airport,Grâce-Hollogne,BE,Matched,Belgium
EBOS,OST,Ostend-Bruges International Airport,Oostende,BE,Matched,Belgium
