route_type,adep,ades,origin_iata,origin_city,destination_iata,destination_city,destination_country,total_observed_flights,months_active,known_airline_flights,max_monthly_flights
Domestic,EDDB,EDDF,BER,Berlin,FRA,Frankfurt am Main,Germany,4961,12,4100,513
Domestic,EDDB,EDDM,BER,Berlin,MUC,Munich,Germany,3293,12,2789,358
Domestic,EDDB,EDDK,BER,Berlin,CGN,Köln (Cologne),Germany,1813,12,1163,198
Domestic,EDDB,EDDS,BER,Berlin,STR,Stuttgart,Germany,1358,12,1046,150
Domestic,EDDB,EDDL,BER,Berlin,DUS,Düsseldorf,Germany,1123,12,845,125
Domestic,EDDF,EDDM,FRA,Frankfurt am Main,MUC,Munich,Germany,5282,12,4368,542
Domestic,EDDF,EDDB,FRA,Frankfurt am Main,BER,Berlin,Germany,5206,12,4305,541
Domestic,EDDF,EDDH,FRA,Frankfurt am Main,HAM,Hamburg,Germany,4862,12,4065,478
Domestic,EDDF,EDDP,FRA,Frankfurt am Main,LEJ,Schkeuditz,Germany,1810,12,1595,187
Domestic,EDDF,EDDL,FRA,Frankfurt am Main,DUS,Düsseldorf,Germany,1762,12,1586,175
Domestic,EDDF,EDDS,FRA,Frankfurt am Main,STR,Stuttgart,Germany,1509,12,1290,173
Domestic,EDDF,EDDN,FRA,Frankfurt am Main,NUE,Nuremberg,Germany,1490,12,1398,153
Domestic,EDDF,EDDV,FRA,Frankfurt am Main,HAJ,Hannover,Germany,1369,12,1305,146
Domestic,EDDF,EDDW,FRA,Frankfurt am Main,BRE,Bremen,Germany,1368,12,1326,149
Domestic,EDDF,EDDC,FRA,Frankfurt am Main,DRS,Dresden,Germany,1141,12,1134,111
Domestic,EDDH,EDDF,HAM,Hamburg,FRA,Frankfurt am Main,Germany,4631,12,3853,458
Domestic,EDDH,EDDM,HAM,Hamburg,MUC,Munich,Germany,4538,12,4061,453
Domestic,EDDH,EDDS,HAM,Hamburg,STR,Stuttgart,Germany,1216,12,1001,136
Domestic,EDDH,EDDL,HAM,Hamburg,DUS,Düsseldorf,Germany,822,12,631,103
Domestic,EDDH,ETNH,HAM,Hamburg,,Hohn,Germany,568,12,0,82
Domestic,EDDL,EDDM,DUS,Düsseldorf,MUC,Munich,Germany,3845,12,3234,425
Domestic,EDDL,EDDF,DUS,Düsseldorf,FRA,Frankfurt am Main,Germany,1728,12,1527,170
Domestic,EDDL,EDDB,DUS,Düsseldorf,BER,Berlin,Germany,1143,12,865,124
Domestic,EDDL,EDLW,DUS,Düsseldorf,DTM,Dortmund,Germany,919,12,52,100
Domestic,EDDL,EDDH,DUS,Düsseldorf,HAM,Hamburg,Germany,814,12,618,94
Domestic,EDDL,EDDK,DUS,Düsseldorf,CGN,Köln (Cologne),Germany,564,12,73,67
Domestic,EDDM,EDDF,MUC,Munich,FRA,Frankfurt am Main,Germany,5202,12,4317,528
Domestic,EDDM,EDDH,MUC,Munich,HAM,Hamburg,Germany,4510,12,4037,452
Domestic,EDDM,EDDL,MUC,Munich,DUS,Düsseldorf,Germany,3816,12,3211,421
Domestic,EDDM,EDDB,MUC,Munich,BER,Berlin,Germany,3252,12,2756,363
Domestic,EDDM,EDDK,MUC,Munich,CGN,Köln (Cologne),Germany,2140,12,1584,237
Domestic,EDDM,EDDW,MUC,Munich,BRE,Bremen,Germany,1462,12,1301,151
Domestic,EDDM,EDDV,MUC,Munich,HAJ,Hannover,Germany,1417,12,1157,142
Domestic,EDDM,EDDG,MUC,Munich,FMO,Greven,Germany,1159,12,871,110
Domestic,EDDM,EDDS,MUC,Munich,STR,Stuttgart,Germany,1144,12,954,145
Domestic,EDDM,EDDC,MUC,Munich,DRS,Dresden,Germany,944,12,828,113
Domestic,EDDM,EDLP,MUC,Munich,PAD,Büren,Germany,506,12,450,79
International,EDDB,LSZH,BER,Berlin,ZRH,Zurich,Switzerland,3563,12,2425,337
International,EDDB,LOWW,BER,Berlin,VIE,Vienna,Austria,2674,12,2090,264
International,EDDB,LFPG,BER,Berlin,CDG,"Paris (Roissy-en-France, Val-d'Oise)",France,2323,12,1258,238
International,EDDB,EGLL,BER,Berlin,LHR,London,United Kingdom,2316,12,1750,228
International,EDDB,EHAM,BER,Berlin,AMS,Amsterdam,Netherlands,2282,12,1662,228
International,EDDB,LEPA,BER,Berlin,PMI,Palma de Mallorca,Spain,1891,12,1096,310
International,EDDB,EKCH,BER,Berlin,CPH,Copenhagen,Denmark,1858,12,1149,201
