route_type,adep,ades,origin_iata,origin_city,destination_iata,destination_city,destination_country,total_observed_flights,months_active,known_airline_flights,max_monthly_flights,destination_city_clean,origin_city_clean
Domestic,EDDB,EDDF,BER,Berlin,FRA,Frankfurt am Main,Germany,4961,12,4100,513,Frankfurt am Main,Berlin
Domestic,EDDB,EDDM,BER,Berlin,MUC,Munich,Germany,3293,12,2789,358,Munich,Berlin
Domestic,EDDB,EDDK,BER,Berlin,CGN,Köln (Cologne),Germany,1813,12,1163,198,Köln (Cologne),Berlin
Domestic,EDDB,EDDS,BER,Berlin,STR,Stuttgart,Germany,1358,12,1046,150,Stuttgart,Berlin
Domestic,EDDB,EDDL,BER,Berlin,DUS,Düsseldorf,Germany,1123,12,845,125,Düsseldorf,Berlin
Domestic,EDDF,EDDM,FRA,Frankfurt am Main,MUC,Munich,Germany,5282,12,4368,542,Munich,Frankfurt am Main
Domestic,EDDF,EDDB,FRA,Frankfurt am Main,BER,Berlin,Germany,5206,12,4305,541,Berlin,Frankfurt am Main
Domestic,EDDF,EDDH,FRA,Frankfurt am Main,HAM,Hamburg,Germany,4862,12,4065,478,Hamburg,Frankfurt am Main
Domestic,EDDF,EDDP,FRA,Frankfurt am Main,LEJ,Schkeuditz,Germany,1810,12,1595,187,Leipzig,Frankfurt am Main
Domestic,EDDF,EDDL,FRA,Frankfurt am Main,DUS,Düsseldorf,Germany,1762,12,1586,175,Düsseldorf,Frankfurt am Main
Domestic,EDDF,EDDS,FRA,Frankfurt am Main,STR,Stuttgart,Germany,1509,12,1290,173,Stuttgart,Frankfurt am Main
Domestic,EDDF,EDDN,FRA,Frankfurt am Main,NUE,Nuremberg,Germany,1490,12,1398,153,Nuremberg,Frankfurt am Main
Domestic,EDDF,EDDV,FRA,Frankfurt am Main,HAJ,Hannover,Germany,1369,12,1305,146,Hannover,Frankfurt am Main
Domestic,EDDF,EDDW,FRA,Frankfurt am Main,BRE,Bremen,Germany,1368,12,1326,149,Bremen,Frankfurt am Main
Domestic,EDDF,EDDC,FRA,Frankfurt am Main,DRS,Dresden,Germany,1141,12,1134,111,Dresden,Frankfurt am Main
Domestic,EDDH,EDDF,HAM,Hamburg,FRA,Frankfurt am Main,Germany,4631,12,3853,458,Frankfurt am Main,Hamburg
Domestic,EDDH,EDDM,HAM,Hamburg,MUC,Munich,Germany,4538,12,4061,453,Munich,Hamburg
Domestic,EDDH,EDDS,HAM,Hamburg,STR,Stuttgart,Germany,1216,12,1001,136,Stuttgart,Hamburg
Domestic,EDDH,EDDL,HAM,Hamburg,DUS,Düsseldorf,Germany,822,12,631,103,Düsseldorf,Hamburg
Domestic,EDDH,ETNH,HAM,Hamburg,,Hohn,Germany,568,12,0,82,Kiel,Hamburg
Domestic,EDDL,EDDM,DUS,Düsseldorf,MUC,Munich,Germany,3845,12,3234,425,Munich,Düsseldorf
Domestic,EDDL,EDDF,DUS,Düsseldorf,FRA,Frankfurt am Main,Germany,1728,12,1527,170,Frankfurt am Main,Düsseldorf
Domestic,EDDL,EDDB,DUS,Düsseldorf,BER,Berlin,Germany,1143,12,865,124,Berlin,Düsseldorf
Domestic,EDDL,EDLW,DUS,Düsseldorf,DTM,Dortmund,Germany,919,12,52,100,Dortmund,Düsseldorf
Domestic,EDDL,EDDH,DUS,Düsseldorf,HAM,Hamburg,Germany,814,12,618,94,Hamburg,Düsseldorf
Domestic,EDDL,EDDK,DUS,Düsseldorf,CGN,Köln (Cologne),Germany,564,12,73,67,Köln (Cologne),Düsseldorf
Domestic,EDDM,EDDF,MUC,Munich,FRA,Frankfurt am Main,Germany,5202,12,4317,528,Frankfurt am Main,Munich
Domestic,EDDM,EDDH,MUC,Munich,HAM,Hamburg,Germany,4510,12,4037,452,Hamburg,Munich
Domestic,EDDM,EDDL,MUC,Munich,DUS,Düsseldorf,Germany,3816,12,3211,421,Düsseldorf,Munich
Domestic,EDDM,EDDB,MUC,Munich,BER,Berlin,Germany,3252,12,2756,363,Berlin,Munich
Domestic,EDDM,EDDK,MUC,Munich,CGN,Köln (Cologne),Germany,2140,12,1584,237,Köln (Cologne),Munich
Domestic,EDDM,EDDW,MUC,Munich,BRE,Bremen,Germany,1462,12,1301,151,Bremen,Munich
Domestic,EDDM,EDDV,MUC,Munich,HAJ,Hannover,Germany,1417,12,1157,142,Hannover,Munich
Domestic,EDDM,EDDG,MUC,Munich,FMO,Greven,Germany,1159,12,871,110,Munster,Munich
Domestic,EDDM,EDDS,MUC,Munich,STR,Stuttgart,Germany,1144,12,954,145,Stuttgart,Munich
Domestic,EDDM,EDDC,MUC,Munich,DRS,Dresden,Germany,944,12,828,113,Dresden,Munich
Domestic,EDDM,EDLP,MUC,Munich,PAD,Büren,Germany,506,12,450,79,Büren,Munich
International,EDDB,LSZH,BER,Berlin,ZRH,Zurich,Switzerland,3563,12,2425,337,Zurich,Berlin
International,EDDB,LOWW,BER,Berlin,VIE,Vienna,Austria,2674,12,2090,264,Vienna,Berlin
International,EDDB,LFPG,BER,Berlin,CDG,"Paris (Roissy-en-France, Val-d'Oise)",France,2323,12,1258,238,"Paris (Roissy-en-France, Val-d'Oise)",Berlin
International,EDDB,EGLL,BER,Berlin,LHR,London,United Kingdom,2316,12,1750,228,London,Berlin
International,EDDB,EHAM,BER,Berlin,AMS,Amsterdam,Netherlands,2282,12,1662,228,Amsterdam,Berlin
International,EDDB,LEPA,BER,Berlin,PMI,Palma de Mallorca,Spain,1891,12,1096,310,Palma de Mallorca,Berlin
International,EDDB,EKCH,BER,Berlin,CPH,Copenhagen,Denmark,1858,12,1149,201,Copenhagen,Berlin
International,EDDB,LEBL,BER,Berlin,BCN,Barcelona,Spain,1772,12,1238,172,Barcelona,Berlin
International,EDDB,LTAI,BER,Berlin,AYT,Antalya,Türkiye,1357,12,735,253,Antalya,Berlin
International,EDDB,EIDW,BER,Berlin,DUB,Dublin,Ireland,1304,12,983,128,Dublin,Berlin
International,EDDB,EFHK,BER,Berlin,HEL,Helsinki (Vantaa),Finland,1295,12,1114,135,Helsinki (Vantaa),Berlin
International,EDDB,EBBR,BER,Berlin,BRU,Zaventem,Belgium,1270,12,1172,133,Brussels,Berlin
International,EDDB,LFPO,BER,Berlin,ORY,"Paris (Orly, Val-de-Marne)",France,1269,12,402,158,Paris,Berlin
International,EDDB,LEMD,BER,Berlin,MAD,Madrid,Spain,1195,12,893,110,Madrid,Berlin
International,EDDB,ESSA,BER,Berlin,ARN,Stockholm,Sweden,1188,12,713,124,Stockholm,Berlin
International,EDDB,EGSS,BER,Berlin,STN,"London, Essex",United Kingdom,1165,12,663,114,"London, Essex",Berlin
International,EDDB,LTFJ,BER,Berlin,SAW,"Pendik, Istanbul",Türkiye,1128,11,422,168,"Pendik, Istanbul",Berlin
International,EDDB,LTFM,BER,Berlin,IST,Istanbul,Türkiye,1095,11,782,145,Istanbul,Berlin
International,EDDB,EGLC,BER,Berlin,LCY,London,United Kingdom,1052,12,680,106,London,Berlin
International,EDDB,LIRF,BER,Berlin,FCO,Rome,Italy,936,12,522,100,Rome,Berlin
International,EDDB,EGKK,BER,Berlin,LGW,London,United Kingdom,931,12,526,88,London,Berlin
International,EDDB,LGAV,BER,Berlin,ATH,Spata-Artemida,Greece,907,12,353,99,Spata-Artemida,Berlin
International,EDDB,LHBP,BER,Berlin,BUD,Budapest,Hungary,892,12,404,98,Budapest,Berlin
International,EDDB,EPWA,BER,Berlin,WAW,Warsaw,Poland,889,12,496,92,Warsaw,Berlin
International,EDDB,EGCC,BER,Berlin,MAN,"Manchester, Greater Manchester",United Kingdom,833,12,530,103,"Manchester, Greater Manchester",Berlin
International,EDDB,ENGM,BER,Berlin,OSL,Oslo (Gardermoen),Norway,814,12,401,84,Oslo (Gardermoen),Berlin
International,EDDB,LPPT,BER,Berlin,LIS,Lisbon,Portugal,807,12,503,116,Lisbon,Berlin
International,EDDB,LEMG,BER,Berlin,AGP,Málaga,Spain,803,12,506,80,Málaga,Berlin
International,EDDB,LIML,BER,Berlin,LIN,Segrate (MI),Italy,708,12,396,70,Segrate (MI),Berlin
International,EDDB,LFMN,BER,Berlin,NCE,"Nice, Alpes-Maritimes",France,694,12,342,97,"Nice, Alpes-Maritimes",Berlin
International,EDDB,LLBG,BER,Berlin,TLV,Tel Aviv,Israel,623,12,342,85,Tel Aviv,Berlin
International,EDDB,LYBE,BER,Berlin,BEG,Belgrade,Serbia,557,12,315,55,Belgrade,Berlin
International,EDDB,EGPH,BER,Berlin,EDI,"Ingliston, Edinburgh",United Kingdom,553,12,359,57,"Ingliston, Edinburgh",Berlin
International,EDDB,LGTS,BER,Berlin,SKG,Thessaloniki,Greece,527,12,340,68,Thessaloniki,Berlin
International,EDDB,LSGG,BER,Berlin,GVA,Geneva,Switzerland,525,12,250,77,Geneva,Berlin
International,EDDB,LFSB,BER,Berlin,BSL,Bâle / Mulhouse,France,504,12,164,60,Bâle / Mulhouse,Berlin
International,EDDF,EGLL,FRA,Frankfurt am Main,LHR,London,United Kingdom,5028,12,4500,494,London,Frankfurt am Main
International,EDDF,LOWW,FRA,Frankfurt am Main,VIE,Vienna,Austria,4719,12,3750,451,Vienna,Frankfurt am Main
International,EDDF,LSZH,FRA,Frankfurt am Main,ZRH,Zurich,Switzerland,4052,12,2944,396,Zurich,Frankfurt am Main
International,EDDF,EHAM,FRA,Frankfurt am Main,AMS,Amsterdam,Netherlands,3544,12,3097,349,Amsterdam,Frankfurt am Main
International,EDDF,LFPG,FRA,Frankfurt am Main,CDG,"Paris (Roissy-en-France, Val-d'Oise)",France,3426,12,2591,345,"Paris (Roissy-en-France, Val-d'Oise)",Frankfurt am Main
International,EDDF,LEMD,FRA,Frankfurt am Main,MAD,Madrid,Spain,3156,12,2217,299,Madrid,Frankfurt am Main
International,EDDF,LIRF,FRA,Frankfurt am Main,FCO,Rome,Italy,2717,12,1843,329,Rome,Frankfurt am Main
International,EDDF,LEBL,FRA,Frankfurt am Main,BCN,Barcelona,Spain,2684,12,2305,342,Barcelona,Frankfurt am Main
International,EDDF,LIML,FRA,Frankfurt am Main,LIN,Segrate (MI),Italy,2656,12,1982,240,Segrate (MI),Frankfurt am Main
International,EDDF,LIMC,FRA,Frankfurt am Main,MXP,Ferno (VA),Italy,2369,12,1664,268,Ferno (VA),Frankfurt am Main
International,EDDF,LKPR,FRA,Frankfurt am Main,PRG,Prague,Czechia,2352,12,1673,230,Prague,Frankfurt am Main
International,EDDF,EBBR,FRA,Frankfurt am Main,BRU,Zaventem,Belgium,2269,12,2061,232,Brussels,Frankfurt am Main
International,EDDF,EKCH,FRA,Frankfurt am Main,CPH,Copenhagen,Denmark,2264,12,1925,236,Copenhagen,Frankfurt am Main
International,EDDF,EPWA,FRA,Frankfurt am Main,WAW,Warsaw,Poland,2213,12,1710,211,Warsaw,Frankfurt am Main
International,EDDF,LGAV,FRA,Frankfurt am Main,ATH,Spata-Artemida,Greece,1932,12,1290,195,Spata-Artemida,Frankfurt am Main
International,EDDF,LEPA,FRA,Frankfurt am Main,PMI,Palma de Mallorca,Spain,1930,12,1279,376,Palma de Mallorca,Frankfurt am Main
International,EDDF,EIDW,FRA,Frankfurt am Main,DUB,Dublin,Ireland,1856,12,1770,171,Dublin,Frankfurt am Main
International,EDDF,LHBP,FRA,Frankfurt am Main,BUD,Budapest,Hungary,1822,12,1750,233,Budapest,Frankfurt am Main
International,EDDF,LSGG,FRA,Frankfurt am Main,GVA,Geneva,Switzerland,1734,12,1455,189,Geneva,Frankfurt am Main
International,EDDF,LTFM,FRA,Frankfurt am Main,IST,Istanbul,Türkiye,1704,11,1356,225,Istanbul,Frankfurt am Main
International,EDDF,ESSA,FRA,Frankfurt am Main,ARN,Stockholm,Sweden,1661,12,1540,163,Stockholm,Frankfurt am Main
International,EDDF,LIPZ,FRA,Frankfurt am Main,VCE,Venezia (VE),Italy,1654,12,1451,233,Venezia (VE),Frankfurt am Main
International,EDDF,LPPT,FRA,Frankfurt am Main,LIS,Lisbon,Portugal,1650,12,1365,205,Lisbon,Frankfurt am Main
International,EDDF,EFHK,FRA,Frankfurt am Main,HEL,Helsinki (Vantaa),Finland,1601,12,1373,147,Helsinki (Vantaa),Frankfurt am Main
International,EDDF,ENGM,FRA,Frankfurt am Main,OSL,Oslo (Gardermoen),Norway,1562,12,1530,154,Oslo (Gardermoen),Frankfurt am Main
International,EDDF,ELLX,FRA,Frankfurt am Main,LUX,Luxembourg,Luxembourg,1470,12,932,145,Luxembourg,Frankfurt am Main
International,EDDF,EPKK,FRA,Frankfurt am Main,KRK,Balice,Poland,1300,12,1279,130,Balice,Frankfurt am Main
International,EDDF,LOWS,FRA,Frankfurt am Main,SZG,Salzburg,Austria,1288,12,1254,138,Salzburg,Frankfurt am Main
International,EDDF,ESGG,FRA,Frankfurt am Main,GOT,Göteborg,Sweden,1217,12,1171,132,Göteborg,Frankfurt am Main
