airline_name,review_count,overall_rating_rating,overall_rating_valid_reviews,overall_rating_coverage_pct,seat_comfort_rating,seat_comfort_valid_reviews,seat_comfort_coverage_pct,cabin_staff_service_rating,cabin_staff_service_valid_reviews,cabin_staff_service_coverage_pct,food_beverages_rating,food_beverages_valid_reviews,food_beverages_coverage_pct,inflight_entertainment_rating,inflight_entertainment_valid_reviews,inflight_entertainment_coverage_pct,ground_service_rating,ground_service_valid_reviews,ground_service_coverage_pct,wifi_connectivity_rating,wifi_connectivity_valid_reviews,wifi_connectivity_coverage_pct,value_for_money_rating,value_for_money_valid_reviews,value_for_money_coverage_pct,evidence_level
British Airways,3470,4.51,3469,99.97,2.81,3343,96.34,3.2,3328,95.91,2.66,3023,87.12,2.67,2206,63.57,2.75,3110,89.63,1.95,704,20.29,2.58,3470,100.0,Strong
Delta Air Lines,2860,3.62,2837,99.2,2.59,2724,95.24,2.87,2715,94.93,2.58,2131,74.51,2.89,1922,67.2,2.32,2697,94.3,2.32,1536,53.71,2.24,2858,99.93,Strong
Turkish Airlines,2440,3.91,2440,100.0,2.79,2265,92.83,2.92,2259,92.58,3.08,2103,86.19,3.07,1908,78.2,2.16,2212,90.66,2.29,994,40.74,2.53,2440,100.0,Strong
Lufthansa,2130,4.72,2130,100.0,2.94,2009,94.32,3.31,2000,93.9,2.9,1817,85.31,3.02,1266,59.44,2.73,1953,91.69,2.53,679,31.88,2.69,2130,100.0,Strong
KLM,1400,5.02,1395,99.64,3.07,1331,95.07,3.52,1329,94.93,3.1,1203,85.93,3.0,892,63.71,2.82,1304,93.14,2.1,430,30.71,2.82,1400,100.0,Strong
Air France,1140,4.86,1140,100.0,2.95,1094,95.96,3.31,1088,95.44,3.05,994,87.19,3.14,784,68.77,2.72,1051,92.19,2.62,319,27.98,2.76,1140,100.0,Strong
SWISS,830,5.02,830,100.0,3.0,787,94.82,3.43,780,93.98,3.17,699,84.22,2.82,493,59.4,2.89,773,93.13,2.2,203,24.46,2.84,830,100.0,Strong
SAS,670,3.63,666,99.4,2.66,627,93.58,2.76,625,93.28,2.28,512,76.42,2.29,346,51.64,2.39,620,92.54,2.0,277,41.34,2.26,669,99.85,Strong
Aer Lingus,660,4.11,656,99.39,2.8,615,93.18,3.03,611,92.58,2.56,479,72.58,2.67,343,51.97,2.56,605,91.67,2.28,196,29.7,2.56,660,100.0,Strong
Finnair,620,4.71,617,99.52,2.94,596,96.13,3.27,595,95.97,2.6,540,87.1,2.77,436,70.32,2.74,576,92.9,2.43,236,38.06,2.74,620,100.0,Strong
Aegean Airlines,620,6.23,620,100.0,3.4,597,96.29,3.96,594,95.81,3.59,539,86.94,2.67,249,40.16,3.31,586,94.52,2.61,138,22.26,3.33,620,100.0,Strong
LOT Polish Airlines,600,3.8,600,100.0,2.76,552,92.0,2.77,550,91.67,2.55,480,80.0,2.21,324,54.0,2.41,565,94.17,1.33,186,31.0,2.4,600,100.0,Strong
Austrian Airlines,560,4.45,558,99.64,2.84,532,95.0,3.18,526,93.93,2.83,455,81.25,2.7,268,47.86,2.56,517,92.32,1.73,117,20.89,2.58,559,99.82,Strong
Brussels Airlines,390,3.56,388,99.49,2.57,371,95.13,2.78,371,95.13,2.36,255,65.38,2.06,149,38.21,2.25,369,94.62,1.34,67,17.18,2.23,389,99.74,Moderate
airBaltic,180,3.77,179,99.44,2.73,173,96.11,2.79,173,96.11,2.55,104,57.78,1.32,50,27.78,2.29,171,95.0,1.16,38,21.11,2.34,180,100.0,Moderate
Air Nostrum,20,5.8,20,100.0,3.26,19,95.0,3.26,19,95.0,3.22,9,45.0,1.67,3,15.0,3.21,19,95.0,1.33,3,15.0,3.45,20,100.0,Limited
