airline_name,traveller_group,review_count,overall_rating_rating,overall_rating_valid_reviews,seat_comfort_rating,seat_comfort_valid_reviews,cabin_staff_service_rating,cabin_staff_service_valid_reviews,food_beverages_rating,food_beverages_valid_reviews,inflight_entertainment_rating,inflight_entertainment_valid_reviews,ground_service_rating,ground_service_valid_reviews,wifi_connectivity_rating,wifi_connectivity_valid_reviews,value_for_money_rating,value_for_money_valid_reviews
Aegean Airlines,Business,108,5.81,108,3.19,106,3.82,106,3.34,99,2.55,40,3.06,108,2.28,25,2.99,108
Aegean Airlines,Leisure,494,6.27,494,3.43,473,3.97,470,3.64,422,2.73,198,3.37,478,2.68,113,3.38,494
Aegean Airlines,Unknown,18,7.61,18,3.67,18,4.39,18,3.72,18,2.09,11,,0,,0,3.83,18
Aer Lingus,Business,100,4.08,100,2.78,96,2.99,96,2.38,72,2.52,42,2.54,98,2.57,30,2.43,100
Aer Lingus,Leisure,537,4.04,537,2.77,496,3.03,492,2.55,387,2.66,288,2.56,507,2.23,166,2.56,537
Aer Lingus,Unknown,23,6.0,19,3.43,23,3.09,23,3.45,20,3.23,13,,0,,0,3.13,23
Air France,Business,209,4.46,209,2.84,197,3.08,196,2.86,176,2.94,131,2.56,205,2.35,63,2.45,209
Air France,Leisure,869,4.94,869,2.97,835,3.38,830,3.11,756,3.23,593,2.76,846,2.68,256,2.82,869
Air France,Unknown,62,5.06,62,2.98,62,3.16,62,2.95,62,2.75,60,,0,,0,2.97,62
Air Nostrum,Business,4,4.5,4,3.25,4,3.25,4,2.33,3,,0,2.75,4,1.0,1,2.75,4
Air Nostrum,Leisure,16,6.12,16,3.27,15,3.27,15,3.67,6,1.67,3,3.33,15,1.5,2,3.62,16
Austrian Airlines,Business,102,4.35,102,2.97,94,3.33,94,2.84,79,2.54,35,2.54,99,2.09,23,2.4,102
Austrian Airlines,Leisure,434,4.36,434,2.78,414,3.13,408,2.8,352,2.69,213,2.56,418,1.64,94,2.58,434
Austrian Airlines,Unknown,24,6.55,22,3.54,24,3.58,24,3.38,24,3.1,20,,0,,0,3.39,23
British Airways,Business,686,3.48,686,2.48,653,2.85,648,2.23,586,2.3,414,2.43,661,1.83,185,2.1,686
British Airways,Leisure,2504,4.62,2504,2.86,2411,3.24,2401,2.71,2159,2.76,1514,2.84,2447,1.99,519,2.63,2504
British Airways,Unknown,280,5.98,279,3.16,279,3.62,279,3.17,278,2.71,278,1.5,2,,0,3.3,280
Brussels Airlines,Business,111,3.3,111,2.36,110,2.76,110,2.35,83,1.85,40,2.05,110,1.33,18,2.0,111
Brussels Airlines,Leisure,273,3.66,273,2.66,256,2.8,255,2.38,167,2.12,106,2.34,259,1.35,49,2.33,273
Brussels Airlines,Unknown,6,4.25,4,2.2,5,2.33,6,2.2,5,2.67,3,,0,,0,1.8,5
Delta Air Lines,Business,512,3.21,512,2.53,495,2.77,492,2.37,376,2.72,340,2.14,505,2.37,299,2.08,511
Delta Air Lines,Leisure,2253,3.62,2253,2.58,2137,2.86,2128,2.6,1667,2.92,1501,2.36,2192,2.31,1237,2.24,2253
Delta Air Lines,Unknown,95,6.65,72,3.27,92,3.38,95,3.06,88,3.07,81,,0,,0,2.99,94
Finnair,Business,109,4.35,109,2.81,104,3.31,104,2.43,94,2.62,71,2.52,107,2.33,42,2.51,109
Finnair,Leisure,481,4.69,481,2.96,463,3.23,461,2.63,416,2.8,338,2.79,469,2.45,194,2.75,481
Finnair,Unknown,30,6.56,27,3.14,29,3.8,30,2.7,30,2.7,27,,0,,0,3.27,30
