skytrax_airline_name,aeropulse_airline_name
lufthansa,Lufthansa
british-airways,British Airways
air-france,Air France
klm-royal-dutch-airlines,KLM
delta-air-lines,Delta Air Lines
austrian-airlines,Austrian Airlines
swiss-international-air-lines,SWISS
brussels-airlines,Brussels Airlines
turkish-airlines,Turkish Airlines
finnair,Finnair
aegean-airlines,Aegean Airlines
airbaltic,airBaltic
lot-polish-airlines,LOT Polish Airlines
aer-lingus,Aer Lingus
sas-scandinavian-airlines,SAS
air-nostrum,Air Nostrum
