airline_name,metric,total_reviews,valid_reviews,coverage_pct
Aegean Airlines,over_all_rating,620,620,100.0
Aegean Airlines,seat_comfort,620,597,96.29
Aegean Airlines,cabin_staff_service,620,594,95.81
Aegean Airlines,food__beverages,620,539,86.94
Aegean Airlines,inflight_entertainment,620,249,40.16
Aegean Airlines,ground_service,620,586,94.52
Aegean Airlines,wifi__connectivity,620,138,22.26
Aegean Airlines,value_for_money,620,620,100.0
Aer Lingus,over_all_rating,660,656,99.39
Aer Lingus,seat_comfort,660,615,93.18
Aer Lingus,cabin_staff_service,660,611,92.58
Aer Lingus,food__beverages,660,479,72.58
Aer Lingus,inflight_entertainment,660,343,51.97
Aer Lingus,ground_service,660,605,91.67
Aer Lingus,wifi__connectivity,660,196,29.7
Aer Lingus,value_for_money,660,660,100.0
Air France,over_all_rating,1140,1140,100.0
Air France,seat_comfort,1140,1094,95.96
Air France,cabin_staff_service,1140,1088,95.44
Air France,food__beverages,1140,994,87.19
Air France,inflight_entertainment,1140,784,68.77
Air France,ground_service,1140,1051,92.19
Air France,wifi__connectivity,1140,319,27.98
Air France,value_for_money,1140,1140,100.0
Air Nostrum,over_all_rating,20,20,100.0
Air Nostrum,seat_comfort,20,19,95.0
Air Nostrum,cabin_staff_service,20,19,95.0
Air Nostrum,food__beverages,20,9,45.0
Air Nostrum,inflight_entertainment,20,3,15.0
Air Nostrum,ground_service,20,19,95.0
Air Nostrum,wifi__connectivity,20,3,15.0
Air Nostrum,value_for_money,20,20,100.0
Austrian Airlines,over_all_rating,560,558,99.64
Austrian Airlines,seat_comfort,560,532,95.0
Austrian Airlines,cabin_staff_service,560,526,93.93
Austrian Airlines,food__beverages,560,455,81.25
Austrian Airlines,inflight_entertainment,560,268,47.86
Austrian Airlines,ground_service,560,517,92.32
Austrian Airlines,wifi__connectivity,560,117,20.89
Austrian Airlines,value_for_money,560,559,99.82
British Airways,over_all_rating,3470,3469,99.97
British Airways,seat_comfort,3470,3343,96.34
British Airways,cabin_staff_service,3470,3328,95.91
British Airways,food__beverages,3470,3023,87.12
British Airways,inflight_entertainment,3470,2206,63.57
British Airways,ground_service,3470,3110,89.63
British Airways,wifi__connectivity,3470,704,20.29
British Airways,value_for_money,3470,3470,100.0
Brussels Airlines,over_all_rating,390,388,99.49
Brussels Airlines,seat_comfort,390,371,95.13
Brussels Airlines,cabin_staff_service,390,371,95.13
Brussels Airlines,food__beverages,390,255,65.38
Brussels Airlines,inflight_entertainment,390,149,38.21
Brussels Airlines,ground_service,390,369,94.62
Brussels Airlines,wifi__connectivity,390,67,17.18
Brussels Airlines,value_for_money,390,389,99.74
Delta Air Lines,over_all_rating,2860,2837,99.2
Delta Air Lines,seat_comfort,2860,2724,95.24
Delta Air Lines,cabin_staff_service,2860,2715,94.93
Delta Air Lines,food__beverages,2860,2131,74.51
Delta Air Lines,inflight_entertainment,2860,1922,67.2
