airline_name,cabin_staff_service,food__beverages,ground_service,inflight_entertainment,over_all_rating,seat_comfort,value_for_money,wifi__connectivity
Aegean Airlines,95.81,86.94,94.52,40.16,100.0,96.29,100.0,22.26
Aer Lingus,92.58,72.58,91.67,51.97,99.39,93.18,100.0,29.7
Air France,95.44,87.19,92.19,68.77,100.0,95.96,100.0,27.98
Air Nostrum,95.0,45.0,95.0,15.0,100.0,95.0,100.0,15.0
Austrian Airlines,93.93,81.25,92.32,47.86,99.64,95.0,99.82,20.89
British Airways,95.91,87.12,89.63,63.57,99.97,96.34,100.0,20.29
Brussels Airlines,95.13,65.38,94.62,38.21,99.49,95.13,99.74,17.18
Delta Air Lines,94.93,74.51,94.3,67.2,99.2,95.24,99.93,53.71
Finnair,95.97,87.1,92.9,70.32,99.52,96.13,100.0,38.06
KLM,94.93,85.93,93.14,63.71,99.64,95.07,100.0,30.71
LOT Polish Airlines,91.67,80.0,94.17,54.0,100.0,92.0,100.0,31.0
Lufthansa,93.9,85.31,91.69,59.44,100.0,94.32,100.0,31.88
SAS,93.28,76.42,92.54,51.64,99.4,93.58,99.85,41.34
SWISS,93.98,84.22,93.13,59.4,100.0,94.82,100.0,24.46
Turkish Airlines,92.58,86.19,90.66,78.2,100.0,92.83,100.0,40.74
airBaltic,96.11,57.78,95.0,27.78,99.44,96.11,100.0,21.11
