airline_name,review_count,over_all_rating,seat_comfort,cabin_staff_service,food__beverages,inflight_entertainment,ground_service,wifi__connectivity,value_for_money
British Airways,3470,4.51,2.81,3.2,2.66,2.67,2.75,1.95,2.58
Delta Air Lines,2860,3.62,2.59,2.87,2.58,2.89,2.32,2.32,2.24
Turkish Airlines,2440,3.91,2.79,2.92,3.08,3.07,2.16,2.29,2.53
Lufthansa,2130,4.72,2.94,3.31,2.9,3.02,2.73,2.53,2.69
KLM,1400,5.02,3.07,3.52,3.1,3.0,2.82,2.1,2.82
Air France,1140,4.86,2.95,3.31,3.05,3.14,2.72,2.62,2.76
SWISS,830,5.02,3.0,3.43,3.17,2.82,2.89,2.2,2.84
SAS,670,3.63,2.66,2.76,2.28,2.29,2.39,2.0,2.26
Aer Lingus,660,4.11,2.8,3.03,2.56,2.67,2.56,2.28,2.56
Finnair,620,4.71,2.94,3.27,2.6,2.77,2.74,2.43,2.74
Aegean Airlines,620,6.23,3.4,3.96,3.59,2.67,3.31,2.61,3.33
LOT Polish Airlines,600,3.8,2.76,2.77,2.55,2.21,2.41,1.33,2.4
Austrian Airlines,560,4.45,2.84,3.18,2.83,2.7,2.56,1.73,2.58
Brussels Airlines,390,3.56,2.57,2.78,2.36,2.06,2.25,1.34,2.23
airBaltic,180,3.77,2.73,2.79,2.55,1.32,2.29,1.16,2.34
Air Nostrum,20,5.8,3.26,3.26,3.22,1.67,3.21,1.33,3.45
