airline_name,review_count
american-airlines,5900
united-airlines,4520
british-airways,3470
delta-air-lines,2860
turkish-airlines,2440
qatar-airways,2300
lufthansa,2130
air-canada,2130
emirates,1980
china-southern-airlines,1730
etihad-airways,1510
jetblue-airways,1470
klm-royal-dutch-airlines,1400
singapore-airlines,1320
air-india,1210
cathay-pacific-airways,1150
air-france,1140
malaysia-airlines,1130
jetstar-airways,1030
swiss-international-air-lines,830
alaska-airlines,810
thai-airways,790
virgin-australia,730
airasia,700
philippine-airlines,690
garuda-indonesia,680
sas-scandinavian-airlines,670
aer-lingus,660
air-new-zealand,630
finnair,620
iberia,620
aegean-airlines,620
aeromexico,620
spicejet,610
air-china,610
lot-polish-airlines,600
austrian-airlines,560
vietnam-airlines,530
icelandair,500
china-eastern-airlines,450
srilankan-airlines,400
eva-air,390
brussels-airlines,390
ana-all-nippon-airways,380
air-europa,370
saudi-arabian-airlines,370
hawaiian-airlines,350
hainan-airlines,340
cebu-pacific,340
oman-air,340
malindo-air,330
porter-airlines,310
korean-air,300
vistara,279
china-airlines,270
air-serbia,270
gulf-air,270
ita-airways,269
asiana-airlines,240
royal-jordanian-airlines,240
bangkok-airways,230
batik-air,225
silver-airways,220
kuwait-airways,200
goair,190
el-al-israel-airlines,190
airbaltic,180
lion-air,160
airasia-x,150
fiji-airways,150
air-india-express,140
csa-czech-airlines,130
airasia-india,124
royal-brunei-airlines,120
nok-air,120
xiamen-airlines,100
silkair,100
air-malta,100
hong-kong-airlines,90
edelweiss-air,80
citilink,71
pia-pakistan-international-airlines,70
peach-aviation,60
air-tahiti-nui,60
bulgaria-air,60
air-dolomiti,50
croatia-airlines,50
luxair,50
bamboo-airways,46
la-compagnie,46
air-niugini,40
sriwijaya-air,40
lao-airlines,30
shenzhen-airlines,30
jeju-air,30
sichuan-airlines,30
tway-air,25
aircalin,20
jin-air,20
juneyao-airlines,20
air-nostrum,20
myanmar-national-airlines,15
starlux-airlines,14
air-macau,10
tianjin-airlines,10
air-busan,10
shandong-airlines,10
mandarin-airlines,4
japan-airlines,2
