metric,value,percentage
total_records,1151876,100.0
known_departure_country,956903,83.07
known_arrival_country,985101,85.52
known_departure_continent,956903,83.07
known_arrival_continent,985101,85.52
complete_airport_reference,790128,68.59
both_endpoints_in_europe,745108,64.69
network_scope_germany_plus_europe,745108,64.69
network_scope_unknown,361748,31.41
network_scope_germany_europe_plus_outside_europe,45020,3.91
departure_country_DE,640022,55.56
departure_country_ES,38065,3.3
departure_country_GB,34312,2.98
departure_country_IT,32154,2.79
departure_country_FR,29470,2.56
departure_country_AT,20375,1.77
departure_country_CH,18127,1.57
departure_country_TR,17244,1.5
departure_country_PL,14861,1.29
departure_country_NL,13564,1.18
departure_country_PT,10786,0.94
departure_country_DK,10581,0.92
departure_country_GR,10477,0.91
departure_country_SE,8228,0.71
departure_country_BE,7075,0.61
departure_country_FI,6242,0.54
departure_country_IE,6132,0.53
departure_country_NO,5272,0.46
departure_country_HU,4809,0.42
departure_country_CZ,4408,0.38
arrival_country_DE,653412,56.73
arrival_country_ES,38443,3.34
arrival_country_IT,35549,3.09
arrival_country_GB,34875,3.03
arrival_country_FR,29961,2.6
arrival_country_AT,20048,1.74
arrival_country_TR,18849,1.64
arrival_country_CH,18664,1.62
arrival_country_PL,15290,1.33
arrival_country_GR,14072,1.22
arrival_country_NL,13559,1.18
arrival_country_PT,10972,0.95
arrival_country_DK,10957,0.95
arrival_country_SE,8367,0.73
arrival_country_BE,6850,0.59
arrival_country_FI,6094,0.53
arrival_country_IE,5988,0.52
arrival_country_NO,5945,0.52
arrival_country_HU,4769,0.41
arrival_country_CZ,4358,0.38
