file,original_rows,target_airport_rows,duplicates_removed,final_rows,known_operator_rows,target_airline_rows,complete_route_rows,missing_route_rows
flight_list_202508.parquet,1573717,108018,0,108018,76302,40909,71926,36092
flight_list_202509.parquet,1536783,115051,0,115051,81554,43442,78311,36740
flight_list_202510.parquet,1408966,112038,0,112038,78822,41831,74726,37312
flight_list_202511.parquet,1134715,88109,0,88109,62800,35527,61502,26607
flight_list_202512.parquet,1167483,88911,0,88911,63139,35316,61276,27635
flight_list_202601.parquet,709137,51222,0,51222,35606,18904,34610,16612
flight_list_202602.parquet,1049317,76089,0,76089,52621,28664,52325,23764
flight_list_202603.parquet,1224728,93094,0,93094,62066,34228,64055,29039
flight_list_202604.parquet,1366644,95542,0,95542,62596,33311,64714,30828
flight_list_202605.parquet,1432875,102942,0,102942,68430,37812,70270,32672
flight_list_202606.parquet,1558373,106325,0,106325,69536,38479,75533,30792
flight_list_202607.parquet,1746344,114535,0,114535,75019,41805,80892,33643
